Company Name,Machine Name,Category,Production Capacity (pcs/hr),Dough Min (g),Dough Max (g),Products,Key Features / Notes
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Ladi pav,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Fruit buns,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Burger buns,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Hamburger buns,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Hot dogs,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Long buns,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Jeera rusk,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Fruit rusk,
Koenig,Mini Rex Futura,Automatic Divider & Rounder,4000,13,160,Tin bread,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Ladi pav,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Fruit buns,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Burger buns,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Hamburger buns,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Hot dogs,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Long buns,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Jeera rusk,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Fruit rusk,
Koenig,Mini Rex Multi,Automatic Divider & Rounder,4800,8,330,Tin bread,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Ladi pav,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Fruit buns,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Burger buns,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Hamburger buns,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Hot dogs,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Long buns,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Jeera rusk,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Fruit rusk,
Koenig,Mini Rex Multi with Forming Station,Automatic Divider & Rounder,4800,8,330,Tin bread,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Ladi pav,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Fruit buns,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Burger buns,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Hamburger buns,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Hot dogs,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Long buns,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Jeera rusk,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Fruit rusk,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Tin bread,
Koenig,Basic Rex,Automatic Divider & Rounder,9000,15,135,Baguettes,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Ladi pav,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Fruit buns,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Burger buns,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Hamburger buns,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Hot dogs,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Long buns,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Jeera rusk,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Fruit rusk,
Koenig,Classic Rex | Classic Rex Futura,Automatic Divider & Rounder,12000,13,180,Tin bread,
